Въпрос;Отговор;Снимка (линк);Снимка отговор (линк)
От какво са изградени миофибрилите?;От тънки (актинови) и дебели (миозинови) нишки (миофиламенти), които участват пряко в мускулното съкращение. ;;
Кой миофиламент е дебел?;"Миозин. Миозиновите нишки:
- Разположени в центъра на сакромера
- Имат „главички“, които могат да се закачат за актина
- Те не се движат активно, а служат като „двигател“";;
Кой миофиламент е тънък?;"Актин. Актиновите нишки:
- С единия си край са прикрепени за Z мембраните
- Другият им край е насочен към центъра и е свободен. Частично се припокрива с миозиновите нишки
- Върху тях има регулаторни белтъци:
      * Тропомиозин – „покривало“
      * Тропонин – „датчик за калций“";;
Как се разпространява електрическият импулс при мускулно съкращение?;Електрическият импулс се генерира в ЦНС, достига по моторен неврон до моторната точка и след това се разпространява по сарколемата и Т-тубулите, стимулирайки освобождаването на Ca²⁺ от саркоплазматичния ретикулум.;;
Какво представлява актин-миозиновият цикъл?;Основният механизъм, чрез който мускулните клетки се съкращават. Този процес включва периодично свързване и разделяне на актин и миозин чрез приплъзване. Задвижва се от разграждането на АТФ и се регулира от наличието на калций.;;
На какво се дължи мускулната треска?;На микроразкъсвания на мускулните влакна, а не на натрупване на лактат.;;
Какво представлява мускулната хипертрофия?;Адаптивно увеличаване на обема и размера на мускулната тъкан вследствие на натоварване.;;
Каква е ролята на сателитните клетки?;Участват в регенерацията и растежа на мускулните влакна.;;
Какво се случва при тежко мускулно разкъсване?;Мускулната тъкан се замества със съединителна тъкан, която няма съкратителна функция.;;
Какво е миоглобин?;Кислородосвързващ белтък в мускулите.;;
Какво показва повишен миоглобин в кръвта?;Тежко мускулно увреждане.;;
Какво е принципът на реципрочна инервация?;Съкращаване на агониста и едновременно отпускане на антагониста, което осигурява плавни, координирани и селективни движения.;;
Какво представлява моторната точка?;Моторната точка е специфична анатомична област върху мускула, където нервът влиза в мускула и която се характеризира с най-висока електрическа възбудимост.;;
Кои са двете групи мускули на главата?;Мимически и дъвкателни.;;
Какво представлява мимическата мускулатура?;Състои се от 43 мускула, разположени подкожно. Инервират се от черепно-мозъчни нерви (т.е. директно от мозъка). Започват от отделни кости на черепа и завършват в дълбокия слой на кожата. ;;
Каква е функцията на мимическите мускули?;Пресъздават и изменят изражението на лицето. Важен индикатор за състоянието на главния мозък.;;
Как функционират дъвкателните мускули?;Движат долната челюст (mandibula), като я притискат към горната (maxilla).;;
Какво е тризмус?;Спазъм на дъвкателните мускули, който се характеризира с невъзможно или силно затруднено отваряне на устата.;;
Слепоочен мускул (musculus temporalis);Голям дъвкателен мускул, разположен в слепоочната област. Повдига долната челюст и участва в дъвченето.;https://www.kenhub.com/thumbor/6kODu5mc0KMfGv3CJQMpO6bFVFw=/fit-in/800x1600/filters:watermark(/images/logo_url.png,-10,-10,0):background_color(FFFFFF):format(jpeg)/images/library/13538/Vc1ICDIQi6PinabT9JHbIA_Temporalis_muscle_01.png;
Голям дъвкателен мускул (musculus masseter);Най-силният дъвкателен мускул. Повдига долната челюст и осигурява силното притискане на зъбите при дъвчене.;https://www.kenhub.com/thumbor/AiFiCFQBr8VeBStQN4hkjQhtB2Y=/fit-in/413x413/filters:fill(FFFFFF,true):watermark(/images/watermark_only_413.png,0,0,0):watermark(/logos/logo_url_sm.png,-10,-10,0):format(jpeg)/images/learnable/musculus-masseter-pars-superficialis/oAPdPmNbdtw72ztxq0pZg_Masseter_muscle_-_pars_superficialis_01.png;
Горни подезични мускули;Намират се над подезичната кост и образуват пода на устната кухина. Отварят устата и при фиксирана мандибула повдигат подезичната кост и ларинкса – важни за преглъщане и говор.;;
Долни подезични мускули;Разположени под подезичната кост и я свързват със стернума и със скапулата. Дърпат подезичната кост и ларинкса надолу след преглъщане и стабилизират движенията.;;
Мускулус платизма (musculus platysma);Повърхностен, тънък и широк мускул на шията. Разположен подкожно, покрива шията като „одеяло“. При съкращение изпъва кожата на шията и предпазва повърхностните вени и нерви от притискане.;https://www.kenhub.com/thumbor/yr0Xi_3YdqlRZve8Ywj-i6hzVgY=/fit-in/800x1600/filters:watermark(/images/logo_url.png,-10,-10,0):background_color(FFFFFF):format(jpeg)/images/article/the-platysma/elcYGWc1cNC7GM1388qgg_elH1AhZYjzqftzpMzoMY1g_Platysma_02.png;
Мускулус стерноклейдомастоидеус (musculus sternocleidomastoideus);Голям повърхностен мускул на шията. Свързва стернума и ключицата с мастоидния израстък на черепа. Участва във флексия, ротация и наклон на главата. Пред и зад него се оформят два триъгълника, в които се намират големи и много важни кръвоносни съдове и нерви.;https://c8.alamy.com/comp/W32FA7/sternocleidomastoideus-W32FA7.jpg;
Трапец (Musculus trapezius);"Голям повърхностен мускул на горната част на гърба. Дели се на 3 части. При контракция на низходящата част ->  екстензия на главата.
При контракция на напречната част (започва от гръбначния стълб, от процеси спиноза и завършва на лопатката) -> аддукция (ретракция) на лопатките, т.е. ще се приближат към гръбначния стълб.
При контракция на възходящата част (която в дисталната си част се захваща за по-долната част на процеси спинози, а в проксималната се залавя за гребена на скапулата) -> изтегляне на лопатката надолу. ";https://i.ytimg.com/vi/dCI-Qa6Fu-Y/sddefault.jpg;
Мускулус латисимус дорзи (Musculus latissimus dorsi);"
Широк повърхностен мускул на гърба. Започва от процеси спинози от торакалния и лумбалния дял и завършва в областта на предната част на хумеруса. Отговорен основно за аддукция (прибиране), екстензия (разгъване) и вътрешна ротация (навътрешно завъртане) на горния крайник. ";https://nielasher.com/cdn/shop/articles/iStock-1217694284_1200x1200.jpg?v=1637850773;
Musculus erector spinae;"Дълбока мускулна група по хода на гръбначния стълб. Поддържа изправеното положение на тялото и извършва екстензия на гръбнака. обхваща:
- Musculus iliocostalis
- Musculus longissimus toracis / dorsi
- Musculus spinalis 
";https://bodyworksprime.com/wp-content/uploads/erector-spinae-muscles-highlighted.jpg.webp;
Musculus pectoralis major (големият гръден мускул) ;"Повърхностен гръден мускул. Горната част се захваща за ключицата и горната част на стернума. Средната част се захваща за стернума и ребрата. Долната част се захваща за долната част на стернума и за долните ребра. Завършва в горната част на хумеруса. 
Привежда горния крайник към тялото (аддукция), участва във флексия и вътрешна ротация на рамото. Има отношение към дишането като помощен мускул. ";https://www.kenhub.com/thumbor/rd8CbMjXA6gntGs93sl8EYIc6lI=/fit-in/800x1600/filters:watermark(/images/logo_url.png,-10,-10,0):background_color(FFFFFF):format(jpeg)/images/library/13535/Wt6B7qUeKq5WqFGlzsQ_Musculus_pectoralis_major_01.png;
Musculus pectoralis minor (малкият гръден мускул);"Намира се под pectoralis major. Захваща се за ребрата и за процесус коракоидеус,  (израстък на скапулата). При контракция -> ще изтегли лопатката надолу, което го определяме като депресия. Когато сме фиксирали горните крайници и оттам лопатките, пр, дълбоко вдишване, този мускул ще тегли ребрата нагоре и ще помогне за вдишването.
";https://www.kenhub.com/thumbor/ELHDLkMg4LE2NGfdrWCo1U6WN6w=/fit-in/800x1600/filters:watermark(/images/logo_url.png,-10,-10,0):background_color(FFFFFF):format(jpeg)/images/article/pectoralis-minor-muscle/RByPN6lyb7aFQEbwF4Z2qQ_pectoralis_minor_muscle.png;
Musculi intercostales (междуребрени мускули);"Основните дихателни мускули (заедно с диафрагмата). Делят се на външни и на вътрешни, като се смятат, че външните имат отношение повече към вдишването, а вътрешните - към издишването.
";https://nielasher.com/cdn/shop/articles/Intercostal_Muscles_Image_2268x.jpg?v=1656341301;
Musculus rectus abdominis (правият коремен мускул) ;"Захваща за стернума, за ребрената дъга, а в долната си част - за ос пубис. При контракция -> флексия. Антагонистите му са Musculus longissimus dorsi, Musculus iliocostalis и 
Musculus spinalis (Erector spinae) и всички мускулчета, които са в дълбочина:  Musculi multifidi и Musculi rotatores
";https://www.kenhub.com/thumbor/Uwi4LMlXvKRcbL1Ds450YDoLPlI=/fit-in/800x1600/filters:watermark(/images/logo_url.png,-10,-10,0):background_color(FFFFFF):format(jpeg)/images/library/12986/jt6lkyuTYizDZFWnsiHpng_Musculus_rectus_abdominis_01.png;
Linea alba (линеа алба);"Тя разделя левия и десния коремни мускули. Простира се от мечовидния израстък на гръдната кост до пубисната симфиза.
Изградена е предимно от съединителна тъкан (колаген). Тя не съдържа значими кръвоносни съдове или нерви. Служи за свързване на коремните мускули и помага за поддържане на стабилността на коремната стена.";https://www.kenhub.com/thumbor/LU8dV_Wfln_rNNpgyD9IdKsa36U=/fit-in/800x1600/filters:watermark(/images/logo_url.png,-10,-10,0):background_color(FFFFFF):format(jpeg)/images/library/13106/jtDy9YtpbGFCf4sSHxm48w_Linea_alba_1.png;
Musculus obliquus externus abdominis (външен кос коремен мускул - мускулус обликвус екстернус);Започва от ребрата и се вплита отпред в линеа алба, както и в ингвиналната връзка, която свързва с предно-горно-хълбочно бодило (Spina iliaca anterior superior) и ос пубис. При двустранна контракция -> флексия, при едностранна контракция -> страничен наклон и ротация. ;https://www.kenhub.com/thumbor/fLJpStIxxeY7zGWjDg5FJzAvuzM=/fit-in/800x1600/filters:watermark(/images/logo_url.png,-10,-10,0):background_color(FFFFFF):format(jpeg)/images/library/13052/L77GpC0EIuzBqMfN8dU8xw_833_Thoraxmuskeln_ventral_NN.png;
Musculus obliquus internus abdominis (вътрешният кос коремен мускул);Намира се под Musculus obliquus externus. Започва отзад от процеси спинози, от ос илиум, от долните ребра и напред завършва в линеа алба. При контракция -> ротация, като придвижва таза нагоре,.;https://www.kenhub.com/thumbor/Td-phOAtb0XRyEz3Dz1UJDolOGc=/fit-in/800x1600/filters:watermark(/images/logo_url.png,-10,-10,0):background_color(FFFFFF):format(jpeg)/images/library/13061/Internal_abdominal_oblique_muscle_copy.png;
Musculus transversus abdominis (напречният коремен мускул) ;Най-дълбокият коремен мускул. Действа като „мускулен корсет“ и стабилизира коремните органи (с помощта на останалите коремни мускули).;https://www.kenhub.com/thumbor/JcxRslm7Cp3WVilg6qO2wxXX5n4=/fit-in/800x1600/filters:watermark(/images/logo_url.png,-10,-10,0):background_color(FFFFFF):format(jpeg)/images/library/13102/bLpxdDFgr3tY6bdeYFP5w_Musculus_transversus_abdominis_01.png;
Diaphragma (диафрагма);Най-важният мускул, участващ в процеса на дишане. Широк, куполообразен мускул, който разделя гръдната кухина от коремната кухина. Когато се свива, тя се спуска надолу, увеличавайки обема на гръдния кош и създавайки вакуум, който изпълва белите дробове с въздух (вдишване). При отпускане тя се издига и помага за изтласкването на въздуха (издишване).;https://innerbody.imgix.net/diaphragm_respiratory_system.png;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
