Въпрос;Отговор
Какво става с нервните клетки при загиване?;Обикновено не се възстановяват – почти липсват стволови клетки.
Какво се случва с броя хромозоми при мейозата?;От една клетка с 46 хромозоми се получават четири клетки с по 23 хромозоми.
В кои клетки протича мейозата?;В сперматогониите при мъжа и овогониите при жената (предшественици на половите клетки).
Каква е целта на мейозата?;Образуване на гамети с хаплоиден набор (23 хромозоми) за оплождане.
Кои са четирите основни фази на митозата?;Профаза, метафаза, анафаза и телофаза.
Какво представлява интерфазата?;Периодът между две деления, когато клетката расте и се подготвя за делене.
Кое ключово събитие става в интерфазата относно ДНК?;Удвояване (репликация) на ДНК.
Какво се случва с хромозомите в профазата?;Хроматинът се кондензира в видими хромозоми, започва формиране на делителното вретено.
Какво се наблюдава в метафазата?;Хромозомите се подреждат в екватора на клетката.
Какво се наблюдава в анафазата?;Сестринските хроматиди се разделят и се придвижват към двата полюса.
Какво се случва в телофазата?;Възстановяват се ядрата, а след това цитокинезата разделя цитоплазмата на две клетки.
По какво се различава мейозата от митозата като краен резултат?;Митозата дава две диплоидни клетки, мейозата – четири хаплоидни клетки.
тестов въпрос;отговор
